country,year,coal_electricity
ASEAN (Ember),2000,73.8
ASEAN (Ember),2001,83.99
ASEAN (Ember),2002,90.5
ASEAN (Ember),2003,99.21
ASEAN (Ember),2004,112.46
ASEAN (Ember),2005,122.01
ASEAN (Ember),2006,135.3
ASEAN (Ember),2007,151.85
ASEAN (Ember),2008,148.62
ASEAN (Ember),2009,159.64
ASEAN (Ember),2010,184.36
ASEAN (Ember),2011,209.26
ASEAN (Ember),2012,239.54
ASEAN (Ember),2013,254.75
ASEAN (Ember),2014,279.27
ASEAN (Ember),2015,313.72
ASEAN (Ember),2016,358.01
ASEAN (Ember),2017,377.89
ASEAN (Ember),2018,424.7
ASEAN (Ember),2019,472.59
ASEAN (Ember),2020,490.95
ASEAN (Ember),2021,499.17
ASEAN (Ember),2022,502.69
Africa,1985,139.514
Africa,1986,142.078
Africa,1987,152.227
Africa,1988,152.449
Africa,1989,157.211
Africa,1990,164.674
Africa,1991,164.786
Africa,1992,165.42
Africa,1993,175.957
Africa,1994,179.794
Africa,1995,186.886
Africa,1996,197.291
Africa,1997,206.045
Africa,1998,201.698
Africa,1999,199.796
Africa,2000,198.07
Africa,2001,202.63
Africa,2002,207.16
Africa,2003,221.78
Africa,2004,231.64
Africa,2005,233.74
Africa,2006,240.47
Africa,2007,248.22
Africa,2008,241.27
Africa,2009,231.89
Africa,2010,242.45
Africa,2011,245.19
Africa,2012,241.05
Africa,2013,235.52
Africa,2014,235.56
Africa,2015,236.57
Africa,2016,237.75
Africa,2017,238.52
Africa,2018,243.64
Africa,2019,243.14
Africa,2020,231.27
Africa,2021,227.83
Africa,2022,236.405
Africa (EI),1985,139.514
Africa (EI),1986,142.078
Africa (EI),1987,152.227
Africa (EI),1988,152.449
Africa (EI),1989,157.211
Africa (EI),1990,164.674
Africa (EI),1991,164.786
Africa (EI),1992,165.42
Africa (EI),1993,175.957
Africa (EI),1994,179.794
Africa (EI),1995,186.886
Africa (EI),1996,197.291
Africa (EI),1997,206.045
Africa (EI),1998,201.698
Africa (EI),1999,199.796
Africa (EI),2000,208.214
Africa (EI),2001,214.431
Africa (EI),2002,222.898
Africa (EI),2003,235.015
Africa (EI),2004,245.195
Africa (EI),2005,248.812
Africa (EI),2006,255.901
Africa (EI),2007,262.47
Africa (EI),2008,257.491
Africa (EI),2009,247.706
Africa (EI),2010,257.339
Africa (EI),2011,259.977
Africa (EI),2012,255.558
Africa (EI),2013,251.395
Africa (EI),2014,251.985
Africa (EI),2015,250.952
Africa (EI),2016,252.657
Africa (EI),2017,252.555
Africa (EI),2018,259.672
Africa (EI),2019,257.743
Africa (EI),2020,245.528
Africa (EI),2021,243.078
Africa (EI),2022,236.405
Africa (Ember),2000,198.07
Africa (Ember),2001,202.63
Africa (Ember),2002,207.16
Africa (Ember),2003,221.78
Africa (Ember),2004,231.64
Africa (Ember),2005,233.74
Africa (Ember),2006,240.47
Africa (Ember),2007,248.22
Africa (Ember),2008,241.27
Africa (Ember),2009,231.89
Africa (Ember),2010,242.45
Africa (Ember),2011,245.19
Africa (Ember),2012,241.05
Africa (Ember),2013,235.52
Africa (Ember),2014,235.56
Africa (Ember),2015,236.57
Africa (Ember),2016,237.75
Africa (Ember),2017,238.52
Africa (Ember),2018,243.64
Africa (Ember),2019,243.14
Africa (Ember),2020,231.27
Africa (Ember),2021,227.83
Argentina,1985,0.607
Argentina,1986,1.013
Argentina,1987,1.016
Argentina,1988,1.586
Argentina,1989,0.865
Argentina,1990,0.66
Argentina,1991,0.926
Argentina,1992,0.834
Argentina,1993,1.18
Argentina,1994,2.348
Argentina,1995,1.908
Argentina,1996,1.917
Argentina,1997,1.896
Argentina,1998,1.808
Argentina,1999,2.106
Argentina,2000,1.67
Argentina,2001,1.27
Argentina,2002,0.76
Argentina,2003,0.88
Argentina,2004,1.58
Argentina,2005,2.05
Argentina,2006,1.96
Argentina,2007,2.31
Argentina,2008,1.81
Argentina,2009,1.66
Argentina,2010,2.82
Argentina,2011,2.72
Argentina,2012,2.46
Argentina,2013,2.21
Argentina,2014,2.38
Argentina,2015,2.23
Argentina,2016,1.81
Argentina,2017,1.89
Argentina,2018,1.91
Argentina,2019,1.1
Argentina,2020,1.54
Argentina,2021,2.23
Argentina,2022,2.14
Asia,1985,654.899
Asia,1986,724.538
Asia,1987,804.499
Asia,1988,860.658
Asia,1989,936.601
Asia,1990,986.323
Asia,1991,1087.481
Asia,1992,1195.332
Asia,1993,1260.896
Asia,1994,1401.425
Asia,1995,1505.783
Asia,1996,1636.531
Asia,1997,1722.119
Asia,1998,1781.47
Asia,1999,1923.078
Asia,2000,2090.72
Asia,2001,2231.87
Asia,2002,2437.77
Asia,2003,2747.29
Asia,2004,3002.12
Asia,2005,3329.56
Asia,2006,3692.3
Asia,2007,4139.57
Asia,2008,4263.8
Asia,2009,4504.15
Asia,2010,4910.12
Asia,2011,5448.16
Asia,2012,5669.86
Asia,2013,6095.08
Asia,2014,6357.95
Asia,2015,6274.2
Asia,2016,6503.8
Asia,2017,6882.26
Asia,2018,7374.7
Asia,2019,7495.79
Asia,2020,7463.79
Asia,2021,8030.67
Asia,2022,8203.587
Asia (Ember),2000,2025.44
Asia (Ember),2001,2162.71
Asia (Ember),2002,2372.82
Asia (Ember),2003,2681.48
Asia (Ember),2004,2933.77
Asia (Ember),2005,3252.8
Asia (Ember),2006,3612.56
Asia (Ember),2007,4051.63
Asia (Ember),2008,4173.8
Asia (Ember),2009,4415.17
Asia (Ember),2010,4821.86
Asia (Ember),2011,5347.74
Asia (Ember),2012,5564.22
Asia (Ember),2013,6000.49
Asia (Ember),2014,6253.15
Asia (Ember),2015,6170.29
Asia (Ember),2016,6388.74
Asia (Ember),2017,6764.08
Asia (Ember),2018,7242.02
Asia (Ember),2019,7361.99
Asia (Ember),2020,7340.03
Asia (Ember),2021,7911.31
Asia (Ember),2022,8086.3
Asia Pacific (EI),1985,651.473
Asia Pacific (EI),1986,715.361
Asia Pacific (EI),1987,802.795
Asia Pacific (EI),1988,871.48
Asia Pacific (EI),1989,945.223
Asia Pacific (EI),1990,1005.625
Asia Pacific (EI),1991,1109.047
Asia Pacific (EI),1992,1219.394
Asia Pacific (EI),1993,1290.891
Asia Pacific (EI),1994,1437.667
Asia Pacific (EI),1995,1548.622
Asia Pacific (EI),1996,1685.748
Asia Pacific (EI),1997,1780.38
Asia Pacific (EI),1998,1846.068
Asia Pacific (EI),1999,1993.93
Asia Pacific (EI),2000,2173.659
Asia Pacific (EI),2001,2308.064
Asia Pacific (EI),2002,2507.821
Asia Pacific (EI),2003,2816.521
Asia Pacific (EI),2004,3068.977
Asia Pacific (EI),2005,3394.722
Asia Pacific (EI),2006,3761.378
Asia Pacific (EI),2007,4188.22
Asia Pacific (EI),2008,4307.669
Asia Pacific (EI),2009,4552.372
Asia Pacific (EI),2010,4934.222
Asia Pacific (EI),2011,5448.688
Asia Pacific (EI),2012,5664.91
Asia Pacific (EI),2013,6089.56
Asia Pacific (EI),2014,6343.088
Asia Pacific (EI),2015,6274.783
Asia Pacific (EI),2016,6477.453
Asia Pacific (EI),2017,6842.092
Asia Pacific (EI),2018,7313.196
Asia Pacific (EI),2019,7430.39
Asia Pacific (EI),2020,7409.197
Asia Pacific (EI),2021,7956.426
Asia Pacific (EI),2022,8120.102
Australia,1985,89.374
Australia,1986,92.587
Australia,1987,100.348
Australia,1988,105.998
Australia,1989,113.56
Australia,1990,123.363
Australia,1991,127.222
Australia,1992,130.002
Australia,1993,133.277
