country,year,coal_electricity
Africa,1985,139.514
Africa,1986,142.078
Africa,1987,152.227
Africa,1988,152.449
Africa,1989,157.211
Africa,1990,164.674
Africa,1991,164.786
Africa,1992,165.42
Africa,1993,175.957
Africa,1994,179.794
Africa,1995,186.886
Africa,1996,197.291
Africa,1997,206.045
Africa,1998,201.698
Africa,1999,199.796
Africa,2000,198.07
Africa,2001,202.63
Africa,2002,207.16
Africa,2003,221.78
Africa,2004,231.64
Africa,2005,233.74
Africa,2006,240.47
Africa,2007,248.22
Africa,2008,241.27
Africa,2009,231.89
Africa,2010,242.45
Africa,2011,245.19
Africa,2012,241.05
Africa,2013,235.52
Africa,2014,235.56
Africa,2015,236.57
Africa,2016,237.75
Africa,2017,238.52
Africa,2018,243.64
Africa,2019,243.14
Africa,2020,231.27
Africa,2021,227.83
Africa,2022,236.405
Argentina,1985,0.607
Argentina,1986,1.013
Argentina,1987,1.016
Argentina,1988,1.586
Argentina,1989,0.865
Argentina,1990,0.66
Argentina,1991,0.926
Argentina,1992,0.834
Argentina,1993,1.18
Argentina,1994,2.348
Argentina,1995,1.908
Argentina,1996,1.917
Argentina,1997,1.896
Argentina,1998,1.808
Argentina,1999,2.106
Argentina,2000,1.67
Argentina,2001,1.27
Argentina,2002,0.76
Argentina,2003,0.88
Argentina,2004,1.58
Argentina,2005,2.05
Argentina,2006,1.96
Argentina,2007,2.31
Argentina,2008,1.81
Argentina,2009,1.66
Argentina,2010,2.82
Argentina,2011,2.72
Argentina,2012,2.46
Argentina,2013,2.21
Argentina,2014,2.38
Argentina,2015,2.23
Argentina,2016,1.81
Argentina,2017,1.89
Argentina,2018,1.91
Argentina,2019,1.1
Argentina,2020,1.54
Argentina,2021,2.23
Argentina,2022,2.14
Australia,1985,89.374
Australia,1986,92.587
Australia,1987,100.348
Australia,1988,105.998
Australia,1989,113.56
Australia,1990,123.363
Australia,1991,127.222
Australia,1992,130.002
Australia,1993,133.277
Australia,1994,136.894
Australia,1995,141.935
Australia,1996,148.431
Australia,1997,157.474
Australia,1998,165.946
Australia,1999,171.161
Australia,2000,180.26
Australia,2001,179.88
Australia,2002,171.86
Australia,2003,173.61
Australia,2004,178.96
Australia,2005,182.98
Australia,2006,185.76
Australia,2007,185.49
Australia,2008,184.24
Australia,2009,182.02
Australia,2010,176.02
Australia,2011,171.98
Australia,2012,165.38
Australia,2013,155.45
Australia,2014,155.23
Australia,2015,162.2
Australia,2016,162.36
Australia,2017,159.17
Australia,2018,156.56
Australia,2019,149.84
Australia,2020,142.93
Australia,2021,137.4
Australia,2022,130.93
Austria,1990,6.19
Austria,1991,6.84
Austria,1992,4.11
Austria,1993,2.98
Austria,1994,3.1
Austria,1995,4.32
Austria,1996,5.28
Austria,1997,5.83
Austria,1998,4.13
Austria,1999,4.42
Austria,2000,5.72
Austria,2001,6.89
Austria,2002,6.61
Austria,2003,8.44
Austria,2004,7.91
Austria,2005,7.17
Austria,2006,7.37
Austria,2007,6.6
Austria,2008,5.53
Austria,2009,3.76
Austria,2010,4.92
Austria,2011,5.43
Austria,2012,4.39
Austria,2013,4.21
Austria,2014,2.94
Austria,2015,2.95
Austria,2016,2.04
Austria,2017,1.76
Austria,2018,1.81
Austria,2019,1.5
Austria,2020,0.56
Austria,2021,0.14
Austria,2022,0.14
Bangladesh,2000,0.0
Bangladesh,2001,0.0
Bangladesh,2002,0.0
Bangladesh,2003,0.0
Bangladesh,2004,0.0
Bangladesh,2005,0.0
Bangladesh,2006,1.08
Bangladesh,2007,1.07
Bangladesh,2008,0.96
Bangladesh,2009,0.82
